,Variants,HD,Count input,Count selected,Fitness
29936,ALNF,4,27,0,0.0
9,KDGV,1,2585,323,0.0201606557734
14417,PDCC,3,33,1,0.00830555560034
79425,KIFF,4,220,3,0.00373750002015
4656,DRYV,3,79,0,0.0
23137,VNMC,3,124,96,0.212193549531
119072,RITC,4,562,14,0.00682769873195
116541,QYPP,4,358,8,0.00612476725835
39375,DCIA,4,77,5,0.0177976191436
128897,STTG,4,582,6,0.00282560138981
88506,LRHW,4,182,0,0.0
79729,KKCW,4,233,5,0.00588161662685
86992,LLYF,4,866,13,0.00411441495675
78032,KEFE,4,526,8,0.00416856782983
96268,MVRF,4,256,6,0.00642382815964
123481,SAFS,4,1262,62,0.0134652668449
72682,IHTL,4,460,5,0.00297916668273
33670,CFQI,4,70,3,0.0117464286348
58618,GEVE,4,504,0,0.0
132262,TKHR,4,54,1,0.00507561731132
143015,YARC,4,508,19,0.0102511483492
119670,RLMA,4,2757,92,0.00914605252181
138971,WLHE,4,602,15,0.0068293189737
70580,HYRC,4,192,1,0.00142751736881
39592,DEAN,4,21,0,0.0
20777,VFPP,3,961,10,0.00285206383778
33171,CEET,4,232,5,0.00590696842265
111967,QHLP,4,1381,107,0.0212360005972
71161,ICKI,4,48,1,0.00571006947523
66126,HHSS,4,519,39,0.0205958575292
721,NFGV,2,494,445,0.246896931156
103142,NWSQ,4,98,1,0.00279676872256
53568,FIWA,4,130,16,0.0337333335152
60045,GKAI,4,329,1,0.000833080045019
128269,SSAI,4,1045,10,0.00262280703169
149116,YYHK,4,26,0,0.0
123679,SATQ,4,373,5,0.00367403934063
7711,GPMV,3,156,1,0.00175694445392
134768,TSYL,4,236,1,0.00116137006276
15393,QAGY,3,1970,82,0.0114085449008
111923,QHIF,4,115,0,0.0
102987,NWHS,4,62,1,0.00442069894857
39929,DFHA,4,60,0,0.0
108812,PTIP,4,771,6,0.00213294423978
91705,MFMC,4,411,237,0.15804805438
123893,SCLL,4,914,59,0.0176924690961
137168,WFEK,4,367,3,0.00224046322734
61428,GPAS,4,630,7,0.00304537038679
62979,GTNQ,4,168,1,0.00163144842149
108124,PRIQ,4,283,2,0.00193698469831
134778,TTAA,4,232,595,0.702929242296
83767,KYRL,4,260,1,0.00105416667235
3526,CLGY,3,1635,94,0.0157576963133
53337,FIFE,4,122,5,0.0112329235578
32289,AYDY,4,10,0,0.0
11034,KTMV,3,838,5,0.00163534209315
107152,PNMQ,4,103,1,0.00266100325059
56650,FTWI,4,58,2,0.00945114947625
50295,ETYI,4,76,2,0.00721271933713
100599,NNIP,4,275,5,0.0049833333602
118414,RGWI,4,2377,16,0.00184490254816
52878,FGVM,4,161,2,0.00340476192312
70647,HYVS,4,1183,13,0.00301190477814
90784,MATG,4,173,5,0.00792148366506
113112,QLSK,4,1142,15,0.00360004380225
49583,ERVS,4,1705,34,0.00546559142732
121218,RQVH,4,1381,14,0.00277854213422
80251,KLPP,4,1336,19,0.00389789173758
116592,QYSL,4,484,11,0.00622916670025
115253,QSWL,4,2495,18,0.00197735472008
97698,NCVY,4,92,2,0.00595833336546
64042,GYRI,4,41,0,0.0
16619,RDHQ,3,453,2,0.00121008094839
84922,LFAW,4,736,16,0.00595833336546
8557,HIGE,3,497,9,0.00496327970483
130964,TFEY,4,39,1,0.00702777781567
78978,KGWN,4,974,14,0.00393959618825
114676,QRHC,4,230,3,0.00357500001928
86069,LIIL,4,1412,17,0.00329987017832
85096,LFNH,4,734,9,0.00336069484101
105414,PHLL,4,327,2,0.00167635067163
53448,FINH,4,97,0,0.0
72457,IHDY,4,137,2,0.00400121656659
107813,PQLM,4,87,1,0.00315038315875
86757,LLHR,4,1369,11,0.0022022766128
114583,QRAD,4,19,2,0.0288508773485
73798,IMAM,4,632,1634,0.708626849812
115632,QTYY,4,442,2,0.00124019608512
14725,PDYH,3,53,0,0.0
57668,GAAW,4,251,4,0.00436786190934
21692,VIHS,3,220,23,0.0286541668212
140203,WPSE,4,1978,10,0.0013856589222
105162,PGRM,4,119,0,0.0
98525,NGHW,4,65,1,0.0042166666894
46749,EHPG,4,54,3,0.015226851934
90640,MAKG,4,83,1,0.00330220885315
34648,CIML,4,660,34,0.0141194445206
108067,PREN,4,164,4,0.00668495938564
103247,NYCM,4,26,1,0.0105416667235
108721,PTCN,4,207,4,0.00529629632485
79780,KKFR,4,640,6,0.00256953126385
70071,HWEW,4,21,0,0.0
16432,QYSV,3,264,2,0.00207638890008
69112,HSLH,4,1488,19,0.00349972000095
87215,LMPE,4,426,4,0.00257355243954
20637,VFET,3,1042,12,0.00315642995944
9394,IDTS,3,394,5,0.00347821490877
114258,QQCF,4,158,3,0.00520411395211
43960,DTVW,4,96,3,0.00856510421285
135014,TTRI,4,91,2,0.00602380955629
75823,ISVE,4,1601,11,0.0018831459606
97111,NADP,4,369,5,0.00371386632535
108959,PTSS,4,1391,12,0.00236448599406
124815,SGDE,4,290,6,0.00567068968575
122783,RWFH,4,595,8,0.00368515408149
68330,HQEH,4,76,0,0.0
54086,FLKS,4,231,2,0.00237301588581
46998,EIIF,4,64,1,0.00428255210642
96540,MWME,4,195,1,0.00140555556313
128003,SRHE,4,229,3,0.00359061137307
74522,IPDG,4,185,1,0.00148153153952
106437,PLLF,4,776,8,0.00282560138981
120720,RPLE,4,1283,20,0.00427253834468
109669,PWVC,4,190,6,0.00865526320456
31802,ATVF,4,33,0,0.0
33746,CFVL,4,2180,103,0.0129498089383
74704,IPQI,4,34,0,0.0
145098,YIRT,4,1215,132,0.0297769548931
129981,SYWN,4,74,0,0.0
18927,TDYY,3,14,0,0.0
8415,HEGN,3,216,11,0.0139579476061
137420,WFWA,4,1287,200,0.0425925928222
64356,HAPR,4,615,3,0.00133699187713
86409,LKHY,4,212,1,0.00129284591892
31455,ASRA,4,86,2,0.00637403104212
30526,ANNH,4,19,0,0.0
20922,VGAN,3,111,5,0.0123460961627
1914,VTGE,2,280,27,0.0264294644282
29060,AGSL,4,66,0,0.0
9097,ICGY,3,414,291,0.192652778817
147224,YQVH,4,725,6,0.0022682758743
18269,SNWV,3,392,3,0.00209757654192
117850,RFIG,4,829,6,0.00198371533036
19438,TTWV,3,76,0,0.0
87098,LMFT,4,2381,5476,0.630357136256
149349,YYYI,4,54,12,0.0609074077358
91386,MENP,4,466,8,0.00470529330148
24681,VSYS,3,1157,224,0.0530636706981
45090,EAMQ,4,176,3,0.00467187502519
122395,RVDP,4,6173,48,0.00213121659986
46444,EGRG,4,852,11,0.00353863460437
88092,LQDE,4,94,0,0.0
8667,HMGA,3,1193,633,0.145427284942
120467,RNRN,4,1553,16,0.00282378194268
52568,FFYH,4,134,4,0.00818159208391
58975,GFWA,4,98,1,0.00279676872256
101048,NPQN,4,45,0,0.0
103327,NYIA,4,144,1,0.00190335649174
120298,RNFI,4,487,35,0.0196979809413
48019,EMHT,4,166,1,0.00165110442657
94128,MNMI,4,134,107,0.218857588245
30947,AQVR,4,36,0,0.0
56930,FVRW,4,180,3,0.00456805558019
147874,YSRK,4,896,6,0.00183537947418
126214,SLDS,4,2763,33,0.00327352517147
123447,SADY,4,269,2,0.00203779431086
65007,HEMS,4,250,6,0.00657800003547
61353,GNTP,4,578,3,0.00142257786234
83624,KYHM,4,20,1,0.0137041667406
48737,EPKP,4,71,0,0.0
123433,SADF,4,173,0,0.0
100806,NNYE,4,45,0,0.0
35553,CMDE,4,170,4,0.00644901964261
118374,RGTG,4,2951,18,0.00167180617641
56965,FVTT,4,417,7,0.0046009192894
30166,AMFH,4,25,0,0.0
112564,QKEM,4,169,0,0.0
140418,WQIS,4,1000,10,0.00274083334811
111661,QGPA,4,2038,26,0.00349664705843
21383,VHKG,3,35,0,0.0
103175,NWVM,4,111,1,0.00246921923253
136206,WALY,4,3442,97,0.00772402192815
137855,WHDC,4,328,10,0.00835619923205
11775,LKGF,3,804,1714,0.58430203466
88143,LQFY,4,318,6,0.00517138367568
17392,RTMV,3,1900,19,0.00274083334811
26903,WQYV,3,700,92,0.0360223811466
43913,DTSH,4,154,1,0.00177976191436
139125,WLRG,4,3822,145,0.0103982426864
117732,REYR,4,1671,13,0.00213230601589
36366,CPLY,4,701,10,0.00390989065351
116643,QYWG,4,82,3,0.0100274390785
51366,FAIY,4,39,1,0.00702777781567
145045,YINW,4,112,1,0.00244717263224
80029,KKYK,4,163,1,0.0016814928516
92130,MGRK,4,208,1,0.00131770834044
10702,KITV,3,534,2,0.00102652934386
100073,NLTN,4,230,2,0.00238333334618
134070,TQVQ,4,32,0,0.0
121974,RSYL,4,2914,29,0.00272766530869
73556,ILIL,4,2601,20,0.00210752275902
136143,WAHP,4,2643,29,0.00300734646596
46698,EHLK,4,71,1,0.00386032865931
113567,QNCF,4,166,6,0.00990662655944
132421,TKSR,4,227,2,0.00241483114371
16742,RDQF,3,672,4,0.00163144842149
34259,CHIT,4,229,5,0.00598435228845
64312,HAMH,4,241,1,0.00113727524818
114625,QRDH,4,821,7,0.00233688592409
31852,AVAL,4,98,145,0.405531464772
136006,TYVT,4,171,3,0.00480847955809
132785,TLTY,4,168,2,0.00326289684299
101211,NQDP,4,137,0,0.0
90279,LYII,4,286,6,0.005750000031
118924,RIKE,4,324,2,0.00169187243711
54012,FLEQ,4,175,2,0.00313238096927
22196,VKSP,3,1704,31,0.00498625785161
85190,LFTH,4,1078,21,0.00533928574307
97721,NCYG,4,42,33,0.215351191637
19259,TPCV,3,37,1,0.0074076576976
8520,HHGF,3,215,797,1.01602054811
139772,WNMY,4,399,12,0.00824310781387
143832,YFCC,4,206,462,0.614691750887
70495,HYLI,4,178,3,0.00461938204738
3,DDGV,1,63,63,0.00647208961971
78145,KENH,4,288,1,0.000951678245872
146514,YNTK,4,198,2,0.00276851853345
238,EDGE,2,431,9,0.00572331789629
16644,RDKA,3,1431,18,0.00344758911712
143042,YASL,4,2769,42,0.00415727701772
98392,NFWM,4,42,0,0.0
30528,ANNL,4,39,0,0.0
82290,KSLT,4,2632,2493,0.259608569029
11141,KYGY,3,122,5,0.0112329235578
128283,SSCD,4,11,2,0.049833333602
112096,QHTR,4,426,2,0.00128677621977
22068,VKKN,3,82,0,0.0
84347,LCKH,4,137,2,0.00400121656659
8720,HNGS,3,1530,6890,1.23427070382
2608,ANGT,3,89,73,0.224809926306
34871,CKDS,4,498,6,0.00330220885315
127102,SNQY,4,129,1,0.00212467701404
69220,HSSF,4,1042,3,0.000789107489859
38616,CWYK,4,64,3,0.0128476563193
73578,ILKQ,4,286,2,0.001916666677
147308,YRCT,4,1253,3202,0.70041088433
64794,HCWA,4,153,14,0.0250795208324
29061,AGSM,4,16,1,0.0171302084257
107408,PPFW,4,110,1,0.0024916666801
131569,THAL,4,108,20,0.0507561731132
118910,RIII,4,493,2,0.00111189993838
71908,IFNR,4,839,7,0.00228675011165
96575,MWPC,4,252,13,0.014139219653
21482,VHRE,3,51,1,0.00537418303551
116596,QYSQ,4,158,5,0.00867352325352
141359,WSYR,4,3682,36,0.00267979360489
71031,ICAE,4,276,24,0.0238333334618
95304,MRWN,4,121,4,0.00906060610946
8492,HGGQ,3,358,3,0.00229678772188
47791,ELQG,4,68,0,0.0
28102,YVLV,3,3514,18707,1.45909987032
133524,TPAK,4,45,0,0.0
142283,WWNW,4,319,1,0.000859195406931
110045,PYWY,4,42,0,0.0
78972,KGWG,4,1932,14,0.00198611112182
55833,FRNC,4,63,2,0.00870105824797
100425,NMVA,4,837,9,0.00294713263238
98500,NGFM,4,168,0,0.0
71403,IECS,4,428,161,0.103101441366
31640,ATFW,4,19,1,0.0144254386743
22167,VKRA,3,932,31,0.00911650577161
53965,FLCC,4,204,328,0.440683008912
89366,LTRY,4,752,6,0.00218683511817
103991,PCHC,4,10,0,0.0
132670,TLMN,4,80,0,0.0
93273,MLAT,4,2450,400,0.044748299561
55710,FREG,4,96,0,0.0
125449,SHWY,4,174,3,0.00472557473812
114324,QQFT,4,620,1305,0.576901212788
24346,VSAM,3,539,4466,2.27097620272
74060,IMSR,4,3122,34,0.00298489217924
113283,QMFQ,4,439,3,0.00187300684381
142234,WWLF,4,993,167,0.0460945789662
14393,PCSV,3,290,9,0.00850603452862
30393,AMYL,4,65,0,0.0
76879,IWWA,4,308,34,0.0302559525441
51338,FAHK,4,25,0,0.0
80854,KNII,4,192,0,0.0
136111,WAEY,4,1206,8,0.0018181315742
30687,APEC,4,11,0,0.0
55172,FPNW,4,68,0,0.0
62512,GSEW,4,147,0,0.0
132800,TLVS,4,801,2,0.000684352895908
134222,TRKC,4,19,0,0.0
82703,KTQM,4,179,1,0.00153119181459
131842,TICE,4,35,1,0.00783095242317
48713,EPIH,4,41,2,0.0133699187713
37030,CRKN,4,153,8,0.0143311547614
57942,GAVE,4,565,0,0.0
65374,HFPE,4,208,4,0.00527083336175
24232,VRRI,3,209,0,0.0
54463,FMMM,4,84,9,0.0293660715869
10832,KNGL,3,2407,5863,0.667615534689
78056,KEHL,4,657,2,0.000834348051175
9750,IMVV,3,1998,42,0.00576151154258
14433,PDCY,3,40,0,0.0
87744,LPDC,4,179,3,0.00459357544376
59201,GGNM,4,134,0,0.0
134883,TTHT,4,44,1,0.00622916670025
96011,MTYE,4,136,2,0.00403063727663
83816,KYVF,4,148,1,0.0018519144244
137272,WFMA,4,1076,11968,3.04854028905
56872,FVNQ,4,127,1,0.00215813649458
40619,DHMH,4,13,0,0.0
101812,NRVY,4,739,4,0.00148353631833
6135,FDMS,3,77,19,0.0676309527456
105394,PHKI,4,30,0,0.0
127798,SQRA,4,913,10,0.00300200804831
13513,NDMC,3,90,2,0.00609074077358
102618,NVFM,4,306,5,0.00447848586293
83306,KWIT,4,225,3,0.00365444446415
111011,QERP,4,3419,37,0.00296609634045
71747,IFCS,4,1046,950,0.248928458958
143931,YFIN,4,180,5,0.00761342596698
101887,NSDE,4,184,1,0.00148958334136
813,QDGQ,2,1243,470,0.103635693774
18332,SQHV,3,176,0,0.0
45752,EEQC,4,50,1,0.00548166669622
129282,SVVY,4,2026,26,0.00351735770241
136515,WCIK,4,232,14,0.0165395115834
79217,KHPR,4,412,1,0.000665250812648
128935,STWH,4,509,5,0.00269237067594
56728,FVDQ,4,196,2,0.00279676872256
134464,TSCN,4,73,4,0.0150182649212
139564,WMWR,4,3759,44,0.00320821142104
105521,PHSM,4,91,2,0.00602380955629
24488,VSLG,3,1170,17256,4.04237779957
97068,NAAG,4,295,3,0.00278728815062
68006,HPFK,4,149,1,0.00183948546853
6191,FDQW,3,13,0,0.0
54226,FLTK,4,276,2,0.00198611112182
48954,EQAQ,4,65,0,0.0
16484,RCGG,3,707,90,0.0348903820835
90881,MCCP,4,432,13,0.00824787813089
146604,YPCH,4,459,6,0.00358278869034
136372,WAWQ,4,1896,21,0.00303573313873
78914,KGSF,4,1808,18,0.00272870576692
90412,LYRQ,4,360,4,0.00304537038679
24747,VTEL,3,274,5,0.00500152070823
38429,CWLA,4,834,3259,1.07102828315
77767,KCLM,4,130,13,0.0274083334811
90269,LYHS,4,262,30,0.0313835879555
98093,NFAW,4,145,1,0.00189022989525
8522,HHGH,3,296,95,0.087965935159
17384,RTGS,3,9082,686,0.0207026170095
129348,SWCM,4,243,58,0.0654190675681
140689,WRDK,4,1355,14,0.00283185733384
120712,RPKR,4,850,5,0.00161225491065
35705,CMNN,4,199,7,0.00964112233004
123235,RYNF,4,133,0,0.0
74674,IPNQ,4,167,2,0.00328243514744
131054,TFLY,4,100,2,0.00548166669622
54467,FMMR,4,257,1,0.00106647211989
6008,FDDR,3,90,0,0.0
8742,HPFV,3,391,7,0.00490686277155
24760,VTFF,3,349,7,0.00549737347759
55942,FRVE,4,311,1,0.000881296896499
48878,EPTL,4,169,2,0.00324358976108
38946,CYYE,4,55,3,0.0149500000806
135101,TTYF,4,48,0,0.0
87157,LMLC,4,1070,3703,0.948533260566
52206,FEWG,4,31,0,0.0
99536,NKFY,4,124,1,0.00221034947428
72371,IGWF,4,72,0,0.0
65205,HFCR,4,631,15,0.00651545169915
64327,HANE,4,92,2,0.00595833336546
3313,CETV,3,271,9,0.00910239857306
55697,FRDM,4,88,0,0.0
47512,EKTR,4,304,1,0.000901589917142
141980,WVRM,4,5460,2993,0.150243850016
6641,FPGE,3,231,0,0.0
76432,IVPK,4,282,5,0.00485963359594
95002,MRCE,4,371,15,0.0110815364479
94077,MNIN,4,251,3,0.00327589643201
134201,TRHW,4,18,0,0.0
6353,FFGN,3,244,4009,4.50327905434
136439,WCDG,4,791,20,0.00693004639219
35516,CMAC,4,227,172,0.207675478359
46483,EGTI,4,205,2,0.00267398375425
23907,VQSI,3,126,7,0.015226851934
129387,SWEQ,4,79,1,0.00346940930141
29444,AITF,4,24,0,0.0
62320,GRQH,4,185,2,0.00296306307904
51772,FCNT,4,98,5,0.0139838436128
90396,LYQS,4,177,2,0.00309698683402
73200,IKIF,4,219,5,0.00625761038382
123211,RYLT,4,1212,55,0.0124377750946
63282,GVLG,4,1351,625,0.126796509443
123379,RYYF,4,93,1,0.00294713263238
146744,YPLY,4,935,6,0.00175882353889
98733,NGWI,4,175,1,0.00156619048463
57944,GAVG,4,847,7,0.00226515152736
68310,HQDF,4,58,1,0.00472557473812
14564,PDMH,3,64,0,0.0
125176,SHDW,4,128,2,0.00428255210642
100289,NMLL,4,950,11,0.00317359650834
7776,GRGQ,3,566,3,0.00145273852373
60035,GIYS,4,308,13,0.0115684524433
48654,EPEA,4,110,2,0.0049833333602
44611,DWYN,4,11,0,0.0
130516,TCRG,4,18,0,0.0
4034,DDER,3,28,0,0.0
57815,GAMC,4,157,1,0.00174575372491
63416,GVTN,4,266,1,0.00103038847673
25646,VWTH,3,223,0,0.0
109083,PVDP,4,717,5,0.00191132032644
139147,WLSK,4,2854,32,0.00307311377504
116672,QYYT,4,134,23,0.0470441544825
128178,SRSM,4,1278,30,0.00643388109885
8004,HAGT,3,1101,4533,1.1284466455
52297,FFEH,4,109,1,0.00251452600744
128746,STKC,4,145,3,0.00567068968575
110661,QCRM,4,198,7,0.00968981486706
5898,FAGL,3,239,655,0.75114888829
97520,NCIK,4,28,0,0.0
79782,KKFT,4,737,340,0.126442786751
87822,LPII,4,302,3,0.00272268213389
103882,PAYA,4,189,1,0.00145017637466
95771,MTFW,4,269,5,0.00509448577716
44315,DVWQ,4,101,1,0.00271369638427
80444,KMEC,4,194,8,0.0113024055592
117909,RFML,4,1164,8,0.00188373425987
37686,CTHK,4,176,9,0.0140156250756
67841,HNSG,4,339,10,0.00808505412422
69692,HVDE,4,305,3,0.00269590165388
32174,AWFT,4,24,195,2.22692709534
78797,KGLA,4,5922,95,0.00439681134871
147491,YRPQ,4,705,4,0.0015550827507
73611,ILML,4,1703,31,0.00498918577754
127991,SRFL,4,2847,23,0.00221423136658
88494,LRHG,4,295,14,0.0130073447029
87609,LNRR,4,1376,18,0.00358539246119
96728,MYAL,4,803,1749,0.596976030616
61992,GQRE,4,117,0,0.0
127731,SQMH,4,172,0,0.0
127811,SQRR,4,1019,15,0.00403459275973
115858,QVPW,4,639,3,0.00128677621977
4763,DVSV,3,201,2,0.0027271973613
145235,YKDI,4,145,0,0.0
101087,NPSR,4,635,10,0.00431627298915
26269,WDKK,3,352,3,0.00233593751259
27265,YDEH,3,178,1,0.00153979401579
21292,VHDE,3,50,1,0.00548166669622
38669,CYDI,4,102,3,0.00806127455327
37181,CRTS,4,991,39,0.0107863270006
142287,WWPE,4,556,7,0.00345068946705
1032,VAGL,2,366,1623,1.21540232896
43549,DSQR,4,51,1,0.00537418303551
83002,KVMK,4,714,2,0.000767740433645
65034,HEPH,4,117,0,0.0
119560,RLEE,4,941,18,0.00524282680829
84499,LCTR,4,761,23,0.00828372759613
114448,QQPQ,4,179,2,0.00306238362917
79283,KHTI,4,142,0,0.0
51776,FCPC,4,40,2,0.0137041667406
67478,HMRH,4,622,8,0.00352518758599
83606,KYFM,4,56,0,0.0
71892,IFMT,4,945,94,0.0272633158436
81159,KPFE,4,259,1,0.00105823681394
126125,SKVY,4,1045,9,0.00236052632852
71542,IEMM,4,86,1,0.00318701552106
114431,QQNR,4,235,4,0.0046652482521
83771,KYRQ,4,111,0,0.0
3019,CDFM,3,189,10,0.0145017637466
8814,HRCV,3,714,227,0.0871385392187
101835,NRYG,4,164,28,0.0467947156995
9165,IDDY,3,103,2,0.00532200650119
73800,IMAP,4,1928,37,0.00525989802283
121001,RQFL,4,963,13,0.00369998271292
127760,SQNW,4,59,0,0.0
45274,ECAT,4,82,12,0.0401097563138
63957,GYLG,4,83,8,0.0264176708252
85655,LHDN,4,169,2,0.00324358976108
62896,GTIE,4,186,2,0.00294713263238
65006,HEMR,4,235,0,0.0
36983,CRFY,4,498,34,0.0187125168345
24368,VSCQ,3,798,20,0.00686925651156
144716,YHPR,4,350,7,0.00548166669622
136208,WAMC,4,925,5765,1.70820586507
98258,NFNC,4,95,0,0.0
56641,FTVT,4,659,15,0.00623861915352
16187,QQGL,3,1188,1423,0.328300156091
142699,WYSQ,4,769,13,0.00463339837782
77850,KCRE,4,86,2,0.00637403104212
80665,KMTD,4,16,0,0.0
74982,IQLR,4,539,5,0.00254251702051
136113,WAFC,4,1146,13775,3.29450081765
16994,RHGG,3,989,237,0.0656802329123
14898,PIGK,3,325,2,0.00168666667576
51670,FCFY,4,53,4,0.0206855347027
95082,MRHM,4,125,3,0.00657800003547
127166,SNVK,4,817,11,0.00369022849807
135481,TWCH,4,20,1,0.0137041667406
103903,PCAF,4,125,8,0.0175413334279
35125,CKVW,4,412,10,0.00665250812648
45614,EEFK,4,113,2,0.00485103247453
8444,HFGD,3,14,0,0.0
94118,MNLS,4,890,729,0.224501967503
4297,DGGC,3,27,11,0.111663580849
57743,GAHC,4,79,0,0.0
124489,SFEK,4,197,2,0.00278257192702
35060,CKRH,4,608,16,0.00721271933713
74029,IMRD,4,13,1,0.021083333447
20729,VFLY,3,652,9,0.0037833589161
39845,DFAI,4,98,0,0.0
47645,ELFE,4,143,4,0.007666666708
2118,YDFV,2,313,1169,1.02365309391
104816,PFRI,4,307,8,0.00714223673775
148901,YWQL,4,116,2,0.00472557473812
41809,DMDN,4,67,1,0.00409079604196
41482,DLEK,4,55,1,0.0049833333602
80248,KLPL,4,1175,14,0.00326567377647
30937,AQTT,4,16,0,0.0
101207,NQDK,4,34,0,0.0
35621,CMHW,4,123,2,0.00445663959042
137897,WHFI,4,421,214,0.139320269951
63408,GVTE,4,249,0,0.0
23412,VPHF,3,26,0,0.0
636,MDGG,2,341,117,0.0940403230877
30143,AMDR,4,60,0,0.0
40274,DGIG,4,43,0,0.0
21430,VHMT,3,183,226,0.338485429876
49682,ESEH,4,201,1,0.00136359868065
45874,EEYT,4,148,8,0.0148153153952
146810,YPQP,4,595,4,0.00184257704075
50363,EVEE,4,161,1,0.00170238096156
89498,LVDC,4,574,13,0.00620746228666
24853,VTMI,3,122,1,0.00224658471157
61754,GPYW,4,41,0,0.0
72401,IGYT,4,454,19,0.0114704479326
701,NDGR,2,653,6,0.0025183767364
119705,RLNT,4,2122,25,0.00322906850626
119443,RKTY,4,760,4,0.00144254386743
138993,WLIH,4,1460,19,0.00356683791877
73251,IKMA,4,715,1646,0.630966670069
27028,WVGG,3,6281,14413,0.628938561476
106925,PMVC,4,381,13,0.00935192480983
48287,ENCQ,4,106,3,0.00775707551352
82404,KSTC,4,340,6,0.00483676473196
141895,WVMC,4,1488,9774,1.8003296468
124920,SGKY,4,156,0,0.0
14005,NNGP,3,859,8,0.00255258053375
119257,RKIA,4,1106,12,0.00297377940121
95343,MSAQ,4,697,12,0.00471879486045
87005,LLYW,4,637,10,0.00430272111163
107279,PNVR,4,1042,9,0.00236732246958
62557,GSIK,4,163,2,0.0033629857032
10783,KMDV,3,782,6,0.00210294118781
133107,TMST,4,488,7,0.00393152324524
22316,VLDE,3,681,4,0.00160988742914
39370,DCHL,4,16,1,0.0171302084257
122494,RVKT,4,2831,23,0.00222674556717
143462,YCYR,4,159,4,0.00689517823424
136723,WCWP,4,1143,135,0.0323720474186
44308,DVWH,4,84,0,0.0
12960,MNGY,3,622,552,0.243237943434
116530,QYPA,4,287,6,0.00572996518769
30449,ANER,4,29,0,0.0
117399,RECA,4,2915,6677,0.627805978228
138598,WKFE,4,640,9,0.00385429689578
99279,NIMQ,4,81,1,0.00338374487421
75570,ISDR,4,1575,20,0.00348042329919
12702,MFMV,3,832,119,0.039201823128
76774,IWPG,4,338,4,0.00324358976108
79417,KIER,4,639,4,0.00171570162636
110,APGV,2,58,2,0.00945114947625
43471,DSLG,4,207,111,0.146972223015
142702,WYST,4,1639,37,0.00618736021233
19502,TWLV,3,77,3,0.0106785714861
60466,GLFQ,4,502,2,0.00109196547734
95324,MRYQ,4,381,3,0.00215813649458
67007,HLIM,4,451,4,0.00243089432205
134503,TSER,4,108,1,0.00253780865566
14112,NRGK,3,345,5,0.00397222224364
86960,LLVL,4,9267,136,0.00402237331761
42762,DQCR,4,24,2,0.0228402779009
27570,YEGY,3,400,45,0.0308343751662
100727,NNRR,4,636,9,0.00387853775676
87288,LMTC,4,596,22,0.0101171700769
125924,SKIC,4,225,3,0.00365444446415
130267,TATM,4,31,1,0.00884139789713
9906,ISEV,3,663,12,0.00496078434047
1489,VFRV,2,831,13,0.00428770559873
89560,LVHI,4,270,0,0.0
10251,KDFN,3,396,3,0.00207638890008
89551,LVFW,4,939,32,0.0093404331352
90933,MCFM,4,342,45,0.0360635966857
120173,RMVN,4,2034,25,0.00336877255176
117917,RFMW,4,309,3,0.00266100325059
94764,MQKA,4,95,6,0.0173105264091
118253,RGLW,4,3334,26,0.00213742252702
39816,DEWA,4,37,0,0.0
48760,EPLW,4,83,0,0.0
14371,PCGH,3,299,7,0.00641666670126
126344,SLMR,4,2215,23,0.00284601205447
113579,QNCT,4,561,765,0.373750002015
42969,DQWS,4,30,0,0.0
143310,YCNH,4,86,2,0.00637403104212
68281,HQAN,4,116,2,0.00472557473812
103554,NYYS,4,81,4,0.0135349794968
60263,GKQL,4,342,3,0.00240423977904
41195,DKIG,4,93,0,0.0
143492,YECK,4,189,8,0.0116014109973
24929,VTRN,3,257,0,0.0
32507,CAHE,4,139,6,0.0118309353156
77849,KCRC,4,80,1,0.00342604168514
63859,GYDK,4,39,0,0.0
102195,NTAE,4,256,3,0.00321191407982
148741,YWEN,4,37,1,0.0074076576976
83029,KVNT,4,1643,17,0.00283592008021
90259,LYHG,4,91,2,0.00602380955629
82364,KSQY,4,261,0,0.0
140975,WRWM,4,1297,70,0.0147924698819
120536,RNWF,4,618,1,0.000443500541766
93525,MLSI,4,1615,42,0.00712786381552
46402,EGNY,4,168,1,0.00163144842149
101131,NPWF,4,94,1,0.00291578015757
24650,VSWC,3,170,3,0.00483676473196
76991,IYFG,4,502,1647,0.899233570585
81482,KQDW,4,138,2,0.00397222224364
91389,MENS,4,541,19,0.00962584724845
103185,NWWC,4,26,2,0.021083333447
92215,MGYC,4,137,5,0.0100030414165
72985,IIRH,4,519,4,0.00211239564402
6795,FTGL,3,396,452,0.312842594279
87327,LMWE,4,412,2,0.0013305016253
143663,YENT,4,242,2,0.00226515152736
74563,IPFM,4,297,4,0.00369135804459
139858,WNSN,4,1001,14,0.003833333354
106269,PKYA,4,231,3,0.00355952382872
50570,EVSM,4,533,35,0.0179979675767
81520,KQHA,4,236,2,0.00232274012552
42146,DNDQ,4,57,0,0.0
119871,RMAN,4,1286,7,0.0014918999562
6259,FDVQ,3,124,1,0.00221034947428
75119,IQVI,4,197,3,0.00417385789052
99593,NKLE,4,265,3,0.00310283020541
74915,IQHA,4,122,1,0.00224658471157
33516,CFEW,4,161,4,0.00680952384624
29502,AKAF,4,20,3,0.0411125002217
33179,CEFH,4,268,7,0.00715889307342
22446,VLME,3,737,4,0.00148756219708
36839,CQVE,4,390,10,0.00702777781567
